dataset,format,bpw,mse,psnr,encode_us,decode_us,encode_std,decode_std
gaussian,Q_MX_6.5,6.5,7.91545e-05,33.8098,7399.2,829.3,393.614,249.044
gaussian,Q6,6,1.10891e-05,42.3456,6449,406.5,264.91,77.6807
gaussian,Q6_K_L,6,1.10891e-05,42.3456,6854.5,393.1,966.532,133.516
gaussian,Q6_K_M,6,1.10891e-05,42.3456,7123.5,397,437.956,150.531
gaussian,Q6_K_H,6,1.10891e-05,42.3456,6333,391.8,479.858,8.99754
gaussian,QG_4.5,4.5,6.22846e-05,34.8508,11560.8,367.7,476.363,89.6509
gaussian,QG4,4.5,6.22846e-05,34.8508,10666,281.3,1065.05,85.6914
gaussian,Q4.5,4.5,6.22846e-05,34.8508,10453.9,287,843.617,122.168
gaussian,QG_MX_4.5,4.5,0.000367017,27.1477,6231.7,1006.5,374.235,83.0226
gaussian,Q_MX_4.5,4.5,0.000386208,26.9264,5728.3,865.8,596.158,267.152
gaussian,[ref] GGUF Q4_K,4.5,0.00376658,17.0351,715,715,0,0
gaussian,QG_4_K_H,4.4375,6.46425e-05,34.6894,51172.9,223.3,1621.23,222.126
gaussian,QG_4_K_M,4.4375,6.46425e-05,34.6894,51546.8,226,2942.79,83.1899
gaussian,QG_4_K_L,4.4375,6.46425e-05,34.6894,50833.9,229.2,2972.63,80.3677
gaussian,Q4,4,0.000132562,31.5704,8061.8,262,376.499,42.6304
gaussian,Q4_K_H,4,0.000132562,31.5704,8007.1,251,579.232,72.2453
gaussian,Q4_K_L,4,0.000132562,31.5704,8089.7,254.1,838.139,9.02984
gaussian,Q4_K_M,4,0.000132562,31.5704,8314.1,252.9,266.239,6.04975
gaussian,QG_MX_3.5,3.78125,0.00260852,18.6306,3996.8,715.6,301.604,226.404
gaussian,QG_3.5,3.5,0.000228383,29.208,11853.5,287.2,644.099,113.65
gaussian,QG3,3.5,0.000228383,29.208,10183.6,274.5,684.47,105.787
gaussian,Q3.5,3.5,0.000228383,29.208,10794.3,421.2,379.49,104.042
gaussian,Q_MX_3.5,3.5,0.00203342,19.7123,3958.3,809.6,294.987,246.909
gaussian,QG_3_K_M,3.4375,0.0002095,29.5828,13066.5,254.5,819.1,118.908
gaussian,QG_3_K_L,3.4375,0.0002095,29.5828,12447.6,283.3,1121.49,90.391
gaussian,QG_3_K_H,3.4375,0.0002095,29.5828,11801.7,262.6,1827.85,112.698
gaussian,Q3_K_H,3,0.000632182,24.7862,3287.6,261.7,25.5837,3.94075
gaussian,Q3_K_M,3,0.000632182,24.7862,3292.3,262.4,29.1642,4.18705
gaussian,Q3_K_L,3,0.000632182,24.7862,3343,265.2,34.4593,32.6886
gaussian,Q3,3,0.000632182,24.7862,3271.6,261.7,354.322,3.34586
gaussian,QG2,2.625,0.000777321,23.8886,12933.4,300.6,755.487,69.6546
gaussian,Q2.5,2.5,0.000807847,23.7213,15050.5,215.7,1314.53,98.8685
gaussian,QG_2.5,2.5,0.000807847,23.7213,14966.5,220.3,826.733,109.756
gaussian,QG_2_K_M,2.4375,0.000807847,23.7213,15100,217.6,677.544,137.747
gaussian,QG_2_K_H,2.4375,0.000807847,23.7213,14547.9,219.3,1031.99,87.9953
gaussian,QG_2_K_L,2.4375,0.000807847,23.7213,15156.4,224.4,779.94,81.4222
gaussian,Q2,2,0.00212221,19.5267,2503.5,280.5,38.7669,2.56738
gaussian,Q2_K_H,2,0.00212221,19.5267,2549.1,285.2,106.043,196.898
gaussian,Q2_K_M,2,0.00212221,19.5267,2555.5,282.3,80.4828,6.42958
gaussian,Q2_K_L,2,0.00212221,19.5267,2502.8,284.8,389.769,110.631
gaussian,[ref] BitNet b1.58,1.58,0.00439795,16.3621,351.6,351.6,0,0
gaussian,Q1.5,1.5,0.00327,17.6491,13461.9,272.3,627.915,85.1373
gaussian,QG_1.5,1.5,0.00327,17.6491,13395.9,274.8,585.479,73.5924
gaussian,QG_1_K_H,1,0.00402602,16.7458,2697.5,268.4,46.7719,2.91458
gaussian,QG_1_K_M,1,0.00402602,16.7458,2725,269.7,311.529,36.0408
gaussian,QG_1_K_L,1,0.00402602,16.7458,2749.6,304.3,174.773,46.4877
gaussian,Q1_K_H,1,0.00402602,16.7458,2686.2,271.2,112.41,21.2298
gaussian,Q1_K_M,1,0.00402602,16.7458,2804.4,283.3,103.331,26.9912
gaussian,Q1_K_L,1,0.00402602,16.7458,2716.8,272.8,37.3366,28.8871
gaussian,QG1,1,0.00402602,16.7458,2779.2,338.4,180.014,43.1706
gaussian,Q1,1,0.00440452,16.3556,418.1,255.3,12.5818,13.9747
gaussian,[ref] Binary 1-bit,1,0.0294746,8.10012,30.5,30.5,0,0
real,Q32,32,0,100,7.2,5.5,0.0755929,0.0690066
real,QG24,24.5,8.79357e-12,110.558,155.2,55.1,3.20283,0.242997
real,QG_24.5,24.5,9.17436e-12,110.374,82.6,77.2,4.40546,1.61393
real,Q24.5,24.5,9.17436e-12,110.374,42.8,41.7,10.0612,5.20737
real,Q_MX_24.5,24.5,9.65501e-07,60.1525,5679,633.3,336.765,18.0149
real,QG_MX_24.5,24.5,9.65501e-07,60.1525,6661.5,648.3,600.058,611.015
real,QG_24_K_H,24,9.17436e-12,110.374,42.2,42.7,0.171825,4.01622
real,QG_24_K_M,24,9.17436e-12,110.374,41.9,42.5,0.229907,0.11127
real,QG_24_K_L,24,9.17436e-12,110.374,41.9,42.3,0.21157,0.249762
